Timestamp,Data
2025-10-22 11:27:36.630,Sensor 1 (0x1C) - X: -0.411 Y: 0.032 Z: 0.921 | Orientation: Flat
2025-10-22 11:27:36.673,Sensor 2 (0x1D) - X: -0.266 Y: -0.266 Z: 0.964 | Orientation: Flat
2025-10-22 11:27:37.209,Sensor 1 (0x1C) - X: 0.094 Y: 0.346 Z: 0.871 | Orientation: Flat
2025-10-22 11:27:37.249,Sensor 2 (0x1D) - X: 0.186 Y: 0.166 Z: 0.895 | Orientation: Flat
2025-10-22 11:27:37.785,Sensor 1 (0x1C) - X: 0.202 Y: 0.063 Z: 1.215 | Orientation: Flat
2025-10-22 11:27:37.826,Sensor 2 (0x1D) - X: 0.162 Y: -0.171 Z: 1.059 | Orientation: Flat
2025-10-22 11:27:38.363,Sensor 1 (0x1C) - X: 0.590 Y: -0.354 Z: 0.492 | Orientation: Landscape Right
2025-10-22 11:27:38.414,Sensor 2 (0x1D) - X: 0.547 Y: 0.065 Z: 0.678 | Orientation: Flat
2025-10-22 11:27:38.951,Sensor 1 (0x1C) - X: 0.339 Y: 0.069 Z: 1.002 | Orientation: Flat
2025-10-22 11:27:38.991,Sensor 2 (0x1D) - X: 0.259 Y: -0.032 Z: 1.030 | Orientation: Flat
2025-10-22 11:27:39.528,Sensor 1 (0x1C) - X: 0.148 Y: 0.114 Z: 1.128 | Orientation: Flat
2025-10-22 11:27:39.568,Sensor 2 (0x1D) - X: 0.094 Y: -0.064 Z: 1.076 | Orientation: Flat
2025-10-22 11:27:40.105,Sensor 1 (0x1C) - X: 0.155 Y: 0.199 Z: 1.028 | Orientation: Flat
2025-10-22 11:27:40.146,Sensor 2 (0x1D) - X: -0.010 Y: 0.043 Z: 1.025 | Orientation: Flat
2025-10-22 11:30:40.129,XC3732 Dual Sensor Test (MMA8452Q)
2025-10-22 11:30:40.140,XC3732 Sensor 1 (0x1C) initialized
2025-10-22 11:30:40.151,XC3732 Sensor 2 (0x1D) initialized
2025-10-22 11:30:40.163,Sensor 1 (0x1C) - X: -0.140 Y: 0.020 Z: 0.997 | Orientation: Portrait Up
2025-10-22 11:30:40.175,Sensor 2 (0x1D) - X: -0.197 Y: 0.169 Z: 0.960 | Orientation: Flat
2025-10-22 11:30:40.187,Sensor 1 (0x1C) - X: -0.141 Y: 0.018 Z: 1.005 | Orientation: Flat
2025-10-22 11:30:40.198,Sensor 2 (0x1D) - X: -0.198 Y: 0.164 Z: 0.962 | Orientation: Flat
2025-10-22 11:30:40.414,Sensor 1 (0x1C) - X: -0.138 Y: 0.017 Z: 0.996 | Orientation: Flat
2025-10-22 11:30:40.455,Sensor 2 (0x1D) - X: -0.198 Y: 0.167 Z: 0.958 | Orientation: Flat
2025-10-22 11:30:40.992,Sensor 1 (0x1C) - X: -0.142 Y: 0.018 Z: 1.005 | Orientation: Flat
2025-10-22 11:30:41.033,Sensor 2 (0x1D) - X: -0.197 Y: 0.166 Z: 0.960 | Orientation: Flat
2025-10-22 11:30:41.570,Sensor 1 (0x1C) - X: -0.139 Y: 0.013 Z: 1.001 | Orientation: Flat
2025-10-22 11:30:41.611,Sensor 2 (0x1D) - X: -0.196 Y: 0.164 Z: 0.963 | Orientation: Flat
2025-10-22 11:30:42.148,Sensor 1 (0x1C) - X: -0.141 Y: 0.021 Z: 1.001 | Orientation: Flat
2025-10-22 11:30:42.190,Sensor 2 (0x1D) - X: -0.198 Y: 0.164 Z: 0.960 | Orientation: Flat
2025-10-22 11:30:42.727,Sensor 1 (0x1C) - X: -0.141 Y: 0.018 Z: 0.999 | Orientation: Flat
2025-10-22 11:30:42.768,Sensor 2 (0x1D) - X: -0.200 Y: 0.168 Z: 0.959 | Orientation: Flat
2025-10-22 11:30:43.305,Sensor 1 (0x1C) - X: -0.140 Y: 0.021 Z: 0.996 | Orientation: Flat
2025-10-22 11:30:43.346,Sensor 2 (0x1D) - X: -0.198 Y: 0.167 Z: 0.960 | Orientation: Flat
2025-10-22 11:30:43.883,Sensor 1 (0x1C) - X: -0.138 Y: 0.019 Z: 1.002 | Orientation: Flat
2025-10-22 11:30:43.924,Sensor 2 (0x1D) - X: -0.197 Y: 0.166 Z: 0.965 | Orientation: Flat
2025-10-22 11:30:44.461,Sensor 1 (0x1C) - X: -0.140 Y: 0.021 Z: 1.000 | Orientation: Flat
2025-10-22 11:30:44.502,Sensor 2 (0x1D) - X: -0.197 Y: 0.166 Z: 0.967 | Orientation: Flat
2025-10-22 11:30:45.039,Sensor 1 (0x1C) - X: -0.134 Y: 0.020 Z: 1.002 | Orientation: Flat
2025-10-22 11:30:45.080,Sensor 2 (0x1D) - X: -0.203 Y: 0.162 Z: 0.959 | Orientation: Flat
2025-10-22 11:30:45.617,Sensor 1 (0x1C) - X: 0.076 Y: -0.136 Z: 1.485 | Orientation: Flat
2025-10-22 11:30:45.658,Sensor 2 (0x1D) - X: -0.215 Y: 0.048 Z: 1.549 | Orientation: Flat
2025-10-22 11:30:46.195,Sensor 1 (0x1C) - X: 0.982 Y: 0.212 Z: -0.187 | Orientation: Landscape Right
2025-10-22 11:30:46.260,Sensor 2 (0x1D) - X: 0.947 Y: 0.396 Z: -0.264 | Orientation: Landscape Right
2025-10-22 11:30:46.797,Sensor 1 (0x1C) - X: 0.958 Y: 0.094 Z: -0.109 | Orientation: Landscape Right
2025-10-22 11:30:46.861,Sensor 2 (0x1D) - X: 0.936 Y: 0.185 Z: -0.146 | Orientation: Landscape Right
2025-10-22 11:30:47.397,Sensor 1 (0x1C) - X: 0.951 Y: 0.061 Z: -0.148 | Orientation: Landscape Right
