Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r
17.384,-0.136648964726174,-0.0253980185510892,1.00080219920398,-7.90924023472228,-1.38191949991826,-0.434320739662847,0.0602065962063175,0.89008282277131,-25.6908085380017,3.96026542957451
17.401,-0.136680356553073,-0.025373737742902,1.00124047717646,-7.90652998143573,-1.3787906141495,-0.434409574155545,0.0601650756982453,0.890002161764883,-25.6971216892469,3.95301759656395
17.417,-0.136718247441123,-0.0253269202804032,1.00163483851132,-7.90365567887633,-1.37590193018467,-0.434473279017544,0.0601361866087025,0.889909349318504,-25.7024760847746,3.94643068006163
17.433,-0.136762268516478,-0.0252555448435507,1.0019685108099,-7.90082211614478,-1.37333756952379,-0.434507791281845,0.060126070861683,0.889802698879285,-25.7065045301796,3.94091026028791
17.449,-0.136811976253452,-0.0251600342471763,1.00222905837923,-7.89818548085384,-1.37117106778771,-0.434511264579885,0.0601390215560288,0.889681814660503,-25.7089060065321,3.93669433219775
17.465,-0.136867451202946,-0.0250430992615455,1.00240897869451,-7.89586519160826,-1.36945845982845,-0.434484019510035,0.0601769345969552,0.889547320297505,-25.7094793900615,3.93385291174168
17.481,-0.136929860386048,-0.0249093569236101,1.00250609512014,-7.8939646378847,-1.3682326936207,-0.434428407171057,0.0602391090149022,0.889400570103497,-25.7081561456266,3.93230909123637
17.497,-0.137001786489949,-0.0247648834694687,1.00252359711945,-7.8925935998344,-1.36750188248204,-0.434348547357384,0.0603223865320619,0.889243427580654,-25.7050209156951,3.93187398545627
17.513,-0.137087121150938,-0.0246167917096189,1.00246961586967,-7.8918831067274,-1.36725244596801,-0.434249933456607,0.0604215032280406,0.889078169359546,-25.7003123367016,3.93228589348499
17.529,-0.137190420824047,-0.0244727945777483,1.00235633222641,-7.89198479709357,-1.36745504688278,-0.434138944206138,0.0605295143622124,0.888907508098331,-25.6944023202507,3.93324667467792
17.545,-0.137315780934295,-0.0243406443239913,1.00219872401171,-7.89305098572592,-1.36806848720703,-0.434022316820265,0.0606382462428305,0.888734644163081,-25.6877571088851,3.93445398452611
17.561,-0.137465439049525,-0.024227369270141,1.00201315203899,-7.89519760371039,-1.36903592938048,-0.433906640941598,0.0607388494650762,0.888563250325254,-25.6808881280493,3.93563320474257
17.577,-0.13763842158702,-0.0241383305746,1.00181602631132,-7.89845822258868,-1.37026988389645,-0.433797947856717,0.0608225669283637,0.888397369003497,-25.6743039241579,3.93657342741766
17.593,-0.137829565537423,-0.0240762438258,1.0016227128606,-7.90274112734912,-1.371628335893,-0.433701456048554,0.0608817367294885,0.888241247626184,-25.6684728448151,3.93716569618098
17.609,-0.138029175669376,-0.0240404239405291,1.00144666786534,-7.90780136848707,-1.37289278760443,-0.433621476675125,0.0609108887108138,0.888099124699737,-25.663800095707,3.93743278736715
17.625,-0.138223449619584,-0.0240265559702592,1.00129868624392,-7.9132363986891,-1.37376402031652,-0.433561431543186,0.0609076888003996,0.88797498293496,-25.6606174224202,3.93753629476504
17.641,-0.138395651538304,-0.0240271987320722,1.00118622651675,-7.91850884556673,-1.37388719682958,-0.433523928022827,0.0608735049473732,0.887872319774946,-25.6591815633576,3.93775323907569
17.657,-0.138527866332709,-0.0240330073843858,1.00111293023933,-7.92299447762995,-1.37290560666079,-0.433510844155126,0.0608134769476385,0.887793984904787,-25.6596770612828,3.93842684559577
17.673,-0.13860305526049,-0.0240344311225953,1.00107853775609,-7.92604848666011,-1.37052973853531,-0.433523374416471,0.0607360931567059,0.887742081894269,-25.6622185846444,3.93990592057788
17.689,-0.138607092350494,-0.024023521562189,1.00107934424468,-7.92707993443844,-1.36660306458797,-0.433561989495271,0.0606523564910597,0.88771787660273,-25.6668484875676,3.94248852308627
